id;city;lon;lat
010580005005;Altenholz;10,120656;54,402998
010580034034;B�delsdorf, Stadt;9,677817;54,315687
010580043043;Eckernf�rde, Stadt;9,837037;54,472791
010580092092;Kronshagen;10,078987;54,332063
010580135135;Rendsburg, Stadt;9,663206;54,306495
010580169169;Wasbek;9,895541;54,07142
010585803001;Achterwehr;9,96576;54,313379
010585803028;Bredenbek;9,871054;54,324946
010585803050;Felde;9,935699;54,301994
010585803093;Krummwisch;9,897593;54,335159
010585803104;Melsdorf;10,029817;54,317289
010585803126;Ottendorf;10,044532;54,340275
010585803130;Quarnbek;9,983912;54,330012
010585803171;Westensee;9,897116;54,274997
010585822037;D�nischenhagen;10,129567;54,426044
010585822116;Noer;10,005045;54,461334
010585822150;Schwedeneck;10,072961;54,471569
010585822157;Strande;10,170979;54,440909
010585824051;Felm;10,061496;54,409603
010585824058;Gettorf;9,973495;54,407632
010585824096;Lindau;9,904545;54,385276
010585824110;Neudorf-Bornstein;9,942553;54,435719
010585824112;Neuwittenbek;10,028294;54,367896
010585824121;Osdorf;10,015654;54,427956
010585824142;Schinkel;9,954902;54,355838
010585824165;T�ttendorf;9,993457;54,392146
010585833003;Alt Duvenstedt;9,645213;54,359629
010585833054;Fockbek;9,601589;54,30413
010585833118;N�bbel;9,622061;54,271939
010585833136;Rickert;9,665546;54,331224
010585847010;Bargstall;9,46575;54,260388
010585847029;Breiholz;9,521979;54,206128
010585847036;Christiansholm;9,405402;54,320498
010585847047;Elsdorf-Westerm�hlen;9,528745;54,258716
010585847055;Friedrichsgraben;9,419087;54,272305
010585847056;Friedrichsholm;9,427267;54,303024
010585847070;Hamdorf;9,518657;54,225554
010585847078;Hohn;9,503416;54,298721
010585847089;K�nigsh�gel;9,474274;54,33488
010585847097;Lohe-F�hrden;9,54437;54,334238
010585847129;Prinzenmoor;9,454146;54,217427
010585847154;Sophienhamm;9,461024;54,270234
010585853031;Brinjahe;9,632102;54,168528
010585853048;Emb�hren;9,591436;54,170602
010585853068;Haale;9,548925;54,174256
010585853071;Hamweddel;9,618873;54,190502
010585853075;H�rsten;9,578749;54,226932
010585853086;Jevenstedt;9,668849;54,234604
010585853101;Luhnstedt;9,698753;54,167176
010585853148;Sch�lp b. Rendsburg;9,629244;54,259318
010585853155;Stafstedt;9,66287;54,170705
010585853172;Westerr�nfeld;9,646005;54,280365
010585864011;Bargstedt;9,769024;54,162433
010585864021;Bokel;9,794093;54,215588
010585864023;Borgdorf-Seedorf;9,878799;54,178086
